Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,13,0
3S INDUSTRIES PRIVATE LIMITED,0,9,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,6
AADHYA ENTERPRISES,0,35,0
AAHANA COMMERCE PVT LTD,0,55,0
AARON INDUSTRIES,0,0,1
ACCRETION POWER AUTOS,0,57,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,610
A D AGRO WORKS,0,0,7
ADAPT MOTORS PVT LTD,0,1,0
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,45
ADIDEV TECHNOA PVT LTD,0,31,0
ADISHWAR AUTO RIDE INDIA PVT LTD,20,0,0
ADITYA AGRO INDUSTRIES,0,0,4
ADITYA SAI INDUSTRIES,0,12,0
ADM TECHNOLOGIES PVT. LTD.,0,4,0
ADRIS ELECTRIC PVT LTD,5,0,0
AFTEK MOTORS INDIA PVT LTD,6,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,7
AGRO INDUSTRIES,0,0,7
AHITESHAM AGRO ENGINEERING,0,0,1
AHMED MOTORS,0,0,5
AJAX ENGINEERING LTD,0,0,343
AJAX FIORI ENGINEERING PVT LTD,0,0,2
"AJAY AGRO ENTERPRISES,SBP",0,0,1
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,15,0
AKAL AGRO INDUSTRY,0,0,1
A K GUPTA & CO.,0,46,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALBEDO VISION PVT LTD,0,9,0
ALLFINE INDUSTRIES PVT LTD,0,667,0
ALL TERRAIN CRANE,0,0,74
ALTIER ELECTRIC VEHICLES PVT LTD,0,139,0
ALTIGREEN PROPULSION LABS PVT LTD,0,202,0
ALTIUS EV TECH PVT LTD,4,0,0
AMAN AGRO INDUSTRIES,0,0,2
AMAN ELECTRIC VEHICLES,0,1,0
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,9,0
AMBIKA INDUSTRIES,0,106,0
AMMANN APOLLO INDIA PVT LTD,0,0,18
AMO MOBILITY SOLUTIONS PVT LTD,133,0,0
AMPERE VEHICLES PRIVATE LIMITED,8324,0,0
"AMRIT ENGG WORKS,DKL",0,0,10
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0
ANJALI AUTO COMPONENTS,0,3,0
ANJALI TRADERS,0,2,0
ANNAPURNA INDUSTRIES,0,0,2
ANVITA AUTO TECH WORKS PVT LTD,2,0,0
APARNA INDUSTRIES,0,9,0
A P I MOTORS PVT LTD,0,149,0
APM AUTO SALES,0,100,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,11
APSARA ENTERPRISE,0,36,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,81,0
ARD EXIM,0,4,0
ARIN TRACTORS PVT LTD,0,0,2
ARNA ELECTRIC AUTO PVT LTD,0,46,0
ARROW AUTOMOTIVE,0,274,0
ASHA IMPEX,0,3,0
ASHOK LEYLAND LTD,0,0,16774
ASSAM FABRICATION WORKS,0,0,3
ATHER ENERGY LTD,7802,0,0
ATTOLENT AUTO GROUP PVT LTD,0,59,0
ATUL AUTO LTD,0,1563,2
ATUL GREENTECH PRIVATE LIMITED,0,4,0
ATUMOBILE PVT LTD,6,0,0
ATUT SANGAM,0,127,0
AUDI AG,0,0,148
AUTOECO GREEN ENERGY PVT LTD,0,26,0
AUTOHAUS PRIVATE LIMITED,0,4,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,4
A.V.AUTOMOTIVES PVT LTD,0,92,0
AVL ELECTRIC VEHICLES PVT LTD,0,147,0
AVON CYCLES LTD,0,70,0
AVTAR ENGINEERING WORKS,0,0,1
AWACHAT INDUSTRIES LTD,0,0,91
AYAAN ELECTRONIC PVT LTD,9,0,0
BABA E-VEHICLES,0,78,0
BABA PRODUCT,0,0,1
BAJAJ AUTO LTD,146167,26716,66
BAJAJ IMPLEMENTS PVT. LTD,0,75,0
BAL AGRO INDUSTRIES,0,0,1
BALAJI AGRO INDUSTRIES,0,0,8
BALAN ENGINEERING PVT LTD,0,70,0
BAL GOPAL WHEELS PVT LTD,0,6,0
BALI AUTO INDUSTRIES,0,19,0
BALJEET ENGG. WORKS,0,0,1
BANKU BODY BUILDER,0,0,1
"BASUDEB ENGINEERING, CUTTACK",0,0,4
BATTRE ELECTRIC MOBLITY PVT LTD,652,0,0
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,340,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,34,0
BENTLEY MOTORS LIMITED,0,0,3
BEST WAY AGENCIES PVT LTD,0,536,0
BESTWAY BANARASH,0,4,0
BGAUSS AUTO PRIVATE LIMITED,771,0,0
BHADAURIA ENTERPRISES,0,4,0
BHAGWAN AGRO INDUSTRIES,0,0,2
BHAGYALAXMI TRAILER,0,0,1
BHARATH AGRO PRODUCTS,0,0,2
BHAVE ELECTRIC VEHICLES PVT LTD,0,189,0
BHM INDUSTRIES,0,128,0
BHOGAL COMBINE SPARE PARTS,0,0,3
BHOYAR AGRO IND WARDHA,0,0,5
BIDISHA ENTERPRISES PVT LTD,0,0,2
BIG BULL TRADER PVT LTD,0,73,0
BIJNOR ENTERPRISES,0,2,0
BLIX CYCLES AND E-VEHICLES PVT LTD,6,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,11
BMW INDIA PVT LTD,617,0,922
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,3,0,0
BOUNCE ELECTRIC 1 PVT LTD,324,0,0
BRIGHT AUTOZONE PVT LTD,0,247,0
BRIGHT METAL WORKS,0,5,0
BSA MOTORS,0,0,4
BSMS AGRICULTURE WORKSHOP,0,0,2
BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),0,0,1
BULL MACHINES PVT LTD,0,0,85
BYD AUTO,0,0,4
BYD INDIA PRIVATE LIMITED,0,0,206
CAPITAL AUTO INDUSTRIES,0,187,0
CAPTAIN TRACTORS PVT. LTD.,0,0,117
CART INDIA,0,2,0
CASE EQUIPMENT PRIVATE LTD,0,0,1
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,134
CATERPILLAR INDIA PRIVATE LIMITED,0,0,180
CEEON INDIA,0,63,0
CHAMPION POLY PLAST,0,987,0
CHANDANA CORPORATION,46,0,0
CHARUVIKRAM AUTOMOBILE PVT LTD,0,2,0
CHAUHAN AUTO INDUSTRIES,0,19,0
CHEHAK BATTERIES,0,22,0
CHETAK TECHNOLOGY LIMITED,373,0,0
CHEVROLET SALES INDIA PVT LTD,0,0,1
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),3,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,66,0
CLAAS INDIA P LTD,0,0,6
CLASSIC LEGENDS PVT LTD,2311,0,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2278
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,9
CONTINENTAL ENGINES PVT LTD,0,348,0
