Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,76,0
3S INDUSTRIES PRIVATE LIMITED,0,55,0
AADHYA ENTERPRISES,0,61,0
AAHANA COMMERCE PVT LTD,0,87,0
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,0,0,1
ABZO MOTORS PVT LTD,1,0,0
ACCRETION POWER AUTOS,0,74,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,799
A D AGRO WORKS,0,0,10
ADAPT MOTORS PVT LTD,0,1,0
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,212
ADIDEV TECHNOA PVT LTD,0,85,0
ADISHAKTI TRACTORS,0,0,1
ADISHWAR AUTO RIDE INDIA PVT LTD,23,0,0
ADITYA AGRO INDUSTRIES,0,0,4
ADITYA SAI INDUSTRIES,0,27,0
ADM TECHNOLOGIES PVT. LTD.,0,14,0
AFTEK MOTORS INDIA PVT LTD,4,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,5
AGRO INDUSTRIES,0,0,13
AHMED MOTORS,0,0,10
AJAX ENGINEERING LTD,0,0,327
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,13,0
AKASH TRAILOR,0,0,2
AKG INTERNATIONAL,0,80,0
A K GUPTA & CO.,0,45,0
A K S ENG AGRO INDUSTRIES,0,0,5
ALBEDO VISION PVT LTD,0,4,0
ALLENTTI MOTORS PVT LTD,0,19,0
ALLFINE INDUSTRIES PVT LTD,0,960,0
ALL TERRAIN CRANE,0,0,93
ALPHA SERVICES,0,0,2
ALTIER ELECTRIC VEHICLES PVT LTD,0,296,0
ALTIGREEN PROPULSION LABS PVT LTD,0,243,0
AMAN AGRO INDUSTRIES,0,0,5
AMAN AUTOMOBILES,0,3,0
AMAN ELECTRIC VEHICLES,0,36,0
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,9,0
AMBIKA INDUSTRIES,0,190,0
AMMANN APOLLO INDIA PVT LTD,0,0,18
AMO MOBILITY SOLUTIONS PVT LTD,12,0,0
AMPERE VEHICLES PRIVATE LIMITED,372,0,0
"AMRIT ENGG WORKS,DKL",0,0,1
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,7,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),8,0,0
ANJALI AUTO COMPONENTS,0,12,0
ANJALI TRADERS,0,12,0
ANNAPURNA INDUSTRIES,0,0,3
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,16,0
A P I MOTORS PVT LTD,0,69,0
APM AUTO SALES,0,81,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,5
APSARA ENTERPRISE,0,74,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,2
A R AGRO TECH,0,0,2
ARCHIT ENTERPRISES,0,86,0
ARD EXIM,0,11,0
ARNA ELECTRIC AUTO PVT LTD,0,38,0
ARROW AUTOMOTIVE,0,207,0
ASHA IMPEX,0,13,0
ASHMA-MOTORS PVT LTD,0,66,0
"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,1
ASHOK LEYLAND LTD,0,0,12050
ASSAM FABRICATION WORKS,0,0,8
ATHER ENERGY LTD,6553,0,0
ATTOLENT AUTO GROUP PVT LTD,0,60,0
ATUL AUTO LTD,0,1939,0
ATUL GREENTECH PRIVATE LIMITED,0,31,0
ATUMOBILE PVT LTD,13,0,0
ATUT SANGAM,0,307,0
AUDI AG,0,0,75
AUM ENGINEERING AND WORKS,0,0,3
AUTOECO GREEN ENERGY PVT LTD,0,54,0
AUTOHAUS PRIVATE LIMITED,0,2,0
AUTOLITE (INDIA) LIMITED,0,1,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,6
A.V.AUTOMOTIVES PVT LTD,0,125,0
AVL ELECTRIC VEHICLES PVT LTD,0,269,0
AVON CYCLES LTD,0,62,0
AWACHAT INDUSTRIES LTD,0,0,86
AYAAN ELECTRONIC PVT LTD,6,0,0
B24 ROKET EV,0,28,0
BABA E RICKSHAW & C BATTERIES,0,0,1
BABA E-VEHICLES,0,68,0
BABA HARI DAS FABRICATION,0,0,1
BABAJI ENGINEERING TRAILOR WORKS,0,0,3
BABA PRODUCT,0,0,24
BAGHWAN RIKSHAW UDYOG,0,4,0
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),1,0,0
BAJAJ AUTO LTD,182445,31559,63
BAJAJ IMPLEMENTS PVT. LTD,0,72,0
BALAJI AGRO INDUSTRIES,0,0,7
BALAJI ENGINEERING,0,0,1
BALAJI TRADING COMPANY,0,3,0
BALAN ENGINEERING PVT LTD,0,1,0
BAL GOPAL WHEELS PVT LTD,0,11,0
BALI AUTO INDUSTRIES,0,24,0
BANKU BODY BUILDER,0,0,2
"BASUDEB ENGINEERING, CUTTACK",0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,244,0,0
"BAUTI ENGINEERING,NAYAGARH",0,0,1
BAXY LTD,0,227,0
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,79,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,22,0
BENTLEY MOTORS LIMITED,0,0,5
BEST WAY AGENCIES PVT LTD,0,654,0
BESTWAY BANARASH,0,8,0
BGAUSS AUTO PRIVATE LIMITED,1215,0,0
BHADAURIA ENTERPRISES,0,11,0
BHAGWAN AGRO INDUSTRIES,0,0,1
BHAVE ELECTRIC VEHICLES PVT LTD,0,256,0
BHM INDUSTRIES,0,215,0
BHOGAL COMBINE SPARE PARTS,0,0,6
BHOYAR AGRO IND WARDHA,0,0,8
BIG BULL TRADER PVT LTD,0,81,0
BIJNOR ENTERPRISES,0,3,0
BLIX CYCLES AND E-VEHICLES PVT LTD,3,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,7
BMW INDIA PVT LTD,461,0,1221
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,25,0,0
BOUNCE ELECTRIC 1 PVT LTD,225,0,0
BRIGHT AUTOZONE PVT LTD,0,459,0
BSA MOTORS,0,0,3
BSMS AGRICULTURE WORKSHOP,0,0,6
BULL MACHINES PVT LTD,0,0,56
BYD INDIA PRIVATE LIMITED,0,0,179
CAPITAL AUTO INDUSTRIES,0,111,0
CAPTAIN TRACTORS PVT. LTD.,0,0,285
CART INDIA,0,23,0
