Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,60,1
3S INDUSTRIES PRIVATE LIMITED,0,22,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,4
AADHYA ENTERPRISES,0,60,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,2,0
AAHANA COMMERCE PVT LTD,0,74,0
AARON INDUSTRIES,0,0,2
ACCRETION POWER AUTOS,0,63,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,825
A D AGRO WORKS,0,0,13
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,89
ADIDEV TECHNOA PVT LTD,0,23,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,1,0,0
ADISHWAR AUTO RIDE INDIA PVT LTD,54,0,0
ADITYA AGRO INDUSTRIES,0,0,2
ADITYA SAI INDUSTRIES,0,14,0
ADM TECHNOLOGIES PVT. LTD.,0,1,0
ADRIS ELECTRIC PVT LTD,4,0,0
AFTEK MOTORS INDIA PVT LTD,17,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,7
AGRO INDUSTRIES,0,0,21
AHITESHAM AGRO ENGINEERING,0,0,1
AHMED MOTORS,0,0,6
AJAX ENGINEERING LTD,0,0,356
AJAX FIORI ENGINEERING PVT LTD,0,0,3
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,16,0
AJS MOTORCYCLES LTD,0,0,1
AKAL AGRO INDUSTRY,0,0,2
AKASH TRAILOR,0,0,8
A K GUPTA & CO.,0,48,0
ALBEDO VISION PVT LTD,0,9,0
ALLFINE INDUSTRIES PVT LTD,0,863,7
ALL TERRAIN CRANE,0,0,142
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,198,0
ALTIGREEN PROPULSION LABS PVT LTD,0,255,0
ALTIUS EV TECH PVT LTD,10,0,0
AMAN AGRO INDUSTRIES,0,0,7
AMAN ELECTRIC VEHICLES,0,4,0
AMARJEET HARVESTER INDUSTRY,0,0,4
AMBIKA ENTERPRISES,0,11,0
AMBIKA INDUSTRIES,0,86,0
AMMANN APOLLO INDIA PVT LTD,0,0,14
AMO MOBILITY SOLUTIONS PVT LTD,258,0,0
AMPERE VEHICLES PRIVATE LIMITED,9349,0,0
AMPERE VEHICLES PVT LTD,8,0,0
"AMRIT ENGG WORKS,DKL",0,0,1
AMW MOTORS LIMITED,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,4,0,0
ANJALI AUTO COMPONENTS,0,1,0
ANJALI TRADERS,0,1,0
ANNAPURNA INDUSTRIES,0,0,10
ANVITA AUTO TECH WORKS PVT LTD,2,0,0
APARNA INDUSTRIES,0,9,0
A P I MOTORS PVT LTD,0,132,0
APM AUTO SALES,0,98,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,10
APOLLO CONSTRUCTION EQUIPMENTS PVT LTD,0,0,1
APSARA ENTERPRISE,0,39,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
ARCHIT ENTERPRISES,0,81,0
ARD EXIM,0,6,0
ARNA ELECTRIC AUTO PVT LTD,0,39,0
ARROW AUTOMOTIVE,0,338,0
ASHA IMPEX,0,3,0
ASHOK LEYLAND LTD,0,0,17308
ASSAM FABRICATION WORKS,0,0,9
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,12184,0,0
ATTOLENT AUTO GROUP PVT LTD,0,37,0
ATUL AUTO LTD,0,2475,2
ATUMOBILE PVT LTD,24,0,0
ATUT SANGAM,0,123,0
AUDI AG,0,0,150
AUTOCROLA INDIA LTD,0,0,1
AUTOECO GREEN ENERGY PVT LTD,0,47,0
AUTOHAUS PRIVATE LIMITED,0,19,0
AUTOLITE (INDIA) LIMITED,0,2,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,2
A.V.AUTOMOTIVES PVT LTD,0,124,0
AVL ELECTRIC VEHICLES PVT LTD,0,226,0
AVON CYCLES LTD,0,85,0
AVTAR ENGINEERING WORKS,0,0,3
AWACHAT INDUSTRIES LTD,0,0,105
AYAAN ELECTRONIC PVT LTD,10,0,0
BABA E-VEHICLES,0,107,0
BABA PRODUCT,0,0,2
BAJAJ AUTO LTD,161988,32703,72
BAJAJ IMPLEMENTS PVT. LTD,0,80,0
BALAN ENGINEERING PVT LTD,0,6,0
BALBIR INDUSTRIES,0,0,1
BAL GOPAL WHEELS PVT LTD,0,1,0
BALI AUTO INDUSTRIES,0,26,0
BALJEET ENGG. WORKS,0,0,2
BANKU BODY BUILDER,0,0,2
BATTRE ELECTRIC MOBLITY PVT LTD,81,0,0
"BAUTI ENGINEERING,NAYAGARH",0,0,2
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,446,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,23,0
BENTLEY MOTORS LIMITED,0,0,4
BEST WAY AGENCIES PVT LTD,0,597,0
BESTWAY AGENCIES PVT LTD,0,0,2
BGAUSS AUTO PRIVATE LIMITED,781,0,0
BHADAURIA ENTERPRISES,0,5,0
BHAGWAN AGRO INDUSTRIES,0,0,8
BHARATH AGRO PRODUCTS,0,0,4
BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,0,1,0
BHAVE ELECTRIC VEHICLES PVT LTD,0,185,0
BHM INDUSTRIES,0,129,0
BHOYAR AGRO IND WARDHA,0,0,3
BIG BULL TRADER PVT LTD,0,31,0
BIJNOR ENTERPRISES,0,8,0
BLIX CYCLES AND E-VEHICLES PVT LTD,13,0,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,23
BMW INDIA PVT LTD,828,0,909
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,7,0,0
BOUNCE ELECTRIC 1 PVT LTD,363,0,0
BRIGHT AUTOZONE PVT LTD,0,259,0
BRIGHT METAL WORKS,0,10,0
BSA MOTORS,0,0,1
BSMS AGRICULTURE WORKSHOP,0,0,10
BULL MACHINES PVT LTD,0,0,69
BYD INDIA PRIVATE LIMITED,0,0,483
CAPITAL AUTO INDUSTRIES,0,151,0
CAPTAIN TRACTORS PVT. LTD.,0,0,133
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,157
CATERPILLAR INDIA PRIVATE LIMITED,0,0,166
CEEON INDIA,0,68,0
CHAMPION POLY PLAST,0,1312,0
CHANDANA CORPORATION,63,0,0
CHANNY AGRO INDUSTRIES,0,0,1
CHARUVIKRAM AUTOMOBILE PVT LTD,0,4,0
CHAUHAN AUTO INDUSTRIES,0,23,0
CHEHAK BATTERIES,0,17,0
CHETAK TECHNOLOGY LIMITED,2346,0,0
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0,0,1
CITADEL ENTERPRISES(OPC) PVT LTD,0,2,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,103,0
CLAAS INDIA P LTD,0,0,21
CLASSIC LEGENDS PVT LTD,3325,0,1
C M OVERSEAS,0,2,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3361
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,17
CONTINENTAL ENGINES PVT LTD,0,422,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,12
CYRUS AUTO INDUSTRIES PVT LTD,0,12,0
DAIMLER AG,0,0,3
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,2147
DAKSH INDUSTRIES,0,340,0
DALIP SINGH & SONS,0,0,2
DAO EVTECH PRIVATE LIMITED,37,0,0
DASHMESH MECH WORKS PVT LTD,0,0,1
DASHMESH TRADERS,0,31,0
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,0,0,2
DASMESH AGRICULTURE WORKS,0,0,6
DASMESH MECHANICAL WORKS PVT.LTD,0,0,109
DAVE EXIM PVT LTD,0,12,0
DE EUSI MOTORS PVT LTD.,0,116,0
DELTA AUTOCORP LTD,0,205,0
DEMAG DEMAG HC 340,0,0,4
DEV AGRO INDUSTRIES,0,0,1
DEVANGI ENG..,0,0,12
DEV ENGINEERING WORKS,0,0,6
DEVI ENGINEERING WORKS,0,0,1
DHANALAKSHMI ENGINEERING WORKS,0,0,3
DHAR IN PVT LTD,0,3,0
DHAR INTERNATIONAL,0,3,0
DHIMAN AGRICULTURE,0,0,3
DHIMAN AGRICULTURE WORKS,0,0,1
DIAMOND E VEHICLES,0,40,0
DILLI ELECTRIC AUTO PVT LTD,0,2062,0
DIVANSU AUTOMOBILES LTD,0,12,0
DIVYA ENTERPRISES,0,90,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,44
DSF INDUSTRIES PVT LTD,0,1,0
D S INDUSTRIES,0,1,0
DUCATI INDIA PVT LTD,28,0,0
DUKE AUTO INDIA,0,89,0
"DURGA AGRO ENGG,BALASORE",0,0,4
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,1
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",0,0,1
DURGA ENGINEERING WORKS,0,0,7
"DWARI ENGG WORKS,SAMBALPUR",0,0,2
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,8
DYS IMPEX PRIVATE LIMITED,0,20,0
E-ASHWA AUTOMOTIVE PVT LTD,0,22,0
EBUZZ MOBILITY LLP,0,1,0
ECO DYNAAMIC EQUIPMENTS,0,30,0
ECO FUEL SYSTEMS (I) PVT LTD,59,0,0
ECO SMART VEHICLES PVT LTD,0,72,0
EDMRC MANNSCHAFT LLP,0,5,0
EFEV CHARGING SOLUTION PVT LTD,0,12,0
E-GURU AUTO ENERGY,0,8,0
EICHER MOTORS LTD,0,0,5
EICHER TRACTORS,0,0,5138
ELECTRECA VEHICLES,15,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2,0,0
ELECTROTHERM (INDIA) LIMITED,0,3,0
ELEPHANTA INDUSTRIES PVT LTD,0,2,0
ELITE AUTO ENGINEERS PVT LTD,0,76,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,32,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,52,0
ENERGY ELECTRIC VEHICLES,0,760,0
ENGTIAN ELECTRIC BIKE PVT LTD,22,0,0
ENTICE IMPEX PVT LTD,0,37,0
EPOWER VEHICLES PVT LTD,0,3,0
E ROYCE MOTORS INDIA PVT LTD,0,34,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,9
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,9021
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,428
ESCORTS R&D CENTRE,0,0,2
ESSAR ENGINEERING,0,0,5
ETRIO AUTOMOBILES PVT LTD,0,5,3
EULER MOTORS PVT LTD,0,273,0
EVBHARAT RANGE PRIVATE LIMITED,0,2,0
EVEX AUTO INDIA PVT LTD,0,12,0
EVTRIC MOTORS PVT LTD,49,0,0
EXERVAL PVT LTD,9,0,0
EXIDE INDUSTRIES LTD,0,189,0
EXTRA FAST SOLUTIONS,0,22,0
EXTREME MOTORS,0,14,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,828
FEDE INDUSTRIES PVT LTD,0,64,0
FERRARI INDIA PRIVATE LIMITED,0,0,4
FERRARI SPA,0,0,2
FIADO INDUSTRIES PVT LTD,11,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,13
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,46,0
FITWEL MOBILITY PVT LTD,0,2,0
FIVE ELEMENTS,0,14,0
FORCE MOTORS LIMITED,0,0,2253
FORD INDIA PVT LTD,0,0,5
FRIENDS AGRO INDUSTRIES,0,0,1
GAHIR AGRICULTURAL INDUSTRIES,0,0,4
GAMZEN PLAST PVT LTD,0,0,3
GANESH AGRO INDUSTRIES,0,0,17
GAUTAM AGRO INDUSTRIES,0,0,3
GAYATRI ELECTRIC VEHICLES PVT LTD,0,267,0
G & G AUTOMOTIVE,0,154,0
GIAN AGRO INDUSTRIES,0,0,1
GILL AGRICULTURE WORKS,0,0,13
GILL AGROTECH,0,0,2
GILLPREETAGRO INDUSTRIES,0,0,3
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,55,0
G.K. RICKSHAW PVT LTD,0,475,0
GOBIND AGRO INDUSTRIES,0,0,9
GODAWARI ELECTRIC MOTORS PVT LTD,0,8,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,10,0
GODREJ AND BOYCE MFG CO LTD,0,0,1
GODREJ & BOYCE MFG. CO. LTD,0,0,20
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,64,0
GOLD HOFER,0,0,6
GOPAL AUTO MOTORS PVT LTD,0,131,0
"GOPAL ENGINEERING, BALASORE",0,0,1
GOREEN E-MOBILITY PVT LTD,323,0,0
GOYAL AGRO INDUSTRIES,0,0,2
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,9,0
GRD MOTORS,0,250,0
GREAVES ELECTRIC MOBILITY PVT LTD,382,0,0
GREEN EVOLVE PVT LTD,0,20,0
GREEN IMPEX,0,17,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,6,0
GREEN STAR MOTORS,0,35,0
GREEN TECHNOLOGIES,0,16,0
GREEN VALLEY MOTORS,0,3,0
GREEN WAY ECO RIDE,0,1,0
GREENWHEELS AUTOMOBILE PVT LTD,0,108,0
GROMAX AGRI EQUIPMENT LTD,0,0,277
GROVE INDIA PVT LTD,0,0,5
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),1,0,0
GURDEEP AGRO  INDUSTRIES,0,0,2
GURDEEP ENGINEERING WORKS,0,0,5
GURJEET COMBINE,0,0,1
GURM AGRICULTURE WORKS,0,0,2
GURMUKH AGRO INDUSTRIES,0,0,3
GURU JI WHEELS,0,8,0
GURUKIRPA INDUSTRIES,0,3,0
GURU NANAK AGRICULTURE IMPLEMENTS,0,0,1
GURU NANAK AGRI ENGG WORKS,0,0,64
GURU NANAK AGRI WORKS,0,0,8
GURU NANAK AGRO INDUSTRIES,0,0,3
GURU RAMDAS AGROTECH,0,0,1
HAMM AG,0,0,6
HARDEV AGRO TECH,0,0,1
HARJEET AGRO INDUSTRIES,0,0,17
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),22,0,0
HARMEET AGRICULTURE WORKS,0,0,17
HARSH TRADING CO,0,1,0
HEMAVATHI AGRO INDUSTRIES,0,0,2
HERO ELECTRIC VEHICLES PVT. LTD,6669,0,0
HERO HONDA MOTORS  LTD,5,0,0
HERO MOTOCORP LTD,469813,0,4
HIGHWAY ENGING WORKS,0,0,2
HIMANI AGRO INDUSTRIES,0,0,1
HIM TEKNOFORGE LTD,0,76,0
HIND AGRO INDUSTRIES,0,0,6
HINDUSTAN MOTOR CORPORATION,0,77,1
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,5
HIRA AGRO INDUSTRIES,0,0,17
HITECH ENGINEERING LTD,0,0,3
HI-TECH INDUSTRIES,0,19,0
HITENDRA WELDING WORKS,0,0,4
H M G ENGINEERING WORKS,0,0,1
HONDA CARS INDIA LTD,0,0,6470
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,324942,0,9
HONGKONG YIXING (IMPORTER: ADMS MARKETING),4,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),4,0,0
HOOGHLY MOTORS PVT LTD,0,246,0
HOP ELECTRIC MOBILITY PVT LTD,19,0,0
HOP MOTORS PVT LTD,0,92,0
HOSHIAR NIRVAIR TRACTORS PVT LTD,0,0,1
HOTAGE INDIA,0,783,0
HOUSTAN INNOVATION LLP,1,0,0
HOVEL CYLINDER PVT LTD,0,6,0
H R AGRO INDUSTRIES,0,0,4
HUNDAL INDUSTRIES,0,75,0
HYKON INDIA LTD,0,16,0
HYUNDAI MOTOR INDIA LTD,0,0,46832
"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,2
INDERPREET AGRO INDUSTRIES,0,0,1
INDIA KAWASAKI MOTORS PVT LTD,332,0,0
INDIAN MOTORS,0,232,0
INDIA SAFE ENTERPRISE,0,2,0
INDIA YAMAHA MOTOR PVT LTD,47129,0,2
INDICON AGRO INDUSTRIES LLP,0,0,1
INDO FARM EQUIPMENT LIMITED,0,0,390
INTERNATIONAL CARS & MOTORS LIMITED,0,0,7
INTERNATIONAL TRACTORS LIMITED,0,0,9879
INVVIGORS INDIA,0,2,0
IRA EDUTECH PVT LTD,9,0,0
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,16
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,4
ISUKII GREENS PVT LTD,0,2,0
ISUZU MOTORS INDIA PVT LTD,0,0,261
IVOOMI INNOVATION PVT LTD,194,0,0
IZANAU ELECTRIC LLP,4,0,0
JADE KOREA SPINE LIFE,0,8,0
JAGUAR LAND ROVER INDIA LIMITED,0,0,192
JAI BHAVANI ENGINEERING  WORKS,0,0,24
JAIDKA POWER SYSTEMS PVT LTD,0,23,0
JAIN POWER CORP,0,21,0
JAISIK BUSINESS LINKS PVT LTD,0,46,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,34,0
JAJODIA COMMODITIES PVT LTD,0,55,0
JAL ENTERPRISES,0,12,0
JAY AGRO INDUSTRIES,0,0,8
JAY BHAVANI TRAILOR,0,0,1
JCB INDIA LIMITED,0,0,3438
JCB INDIA LTD,0,0,12
JEET AGRO INDUSTRIES,0,0,1
JESSUN TECHNO PVT LTD,0,20,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),30,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),3,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),6,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),1,0,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),13,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),102,0,0
JITENDRA NEW EV-TECH PVT. LTD,350,5,0
JITENDRA TEMPO PARTS,0,43,0
J K AGRO INDUSTRIES,0,0,6
JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),0,0,5
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,6869
JOYRAM STEEL FABRICATION WORKS,0,5,0
J P AUTO TECH,0,9,0
J S AGRO INDUSTRIES,0,0,15
J. S. AUTO (P) LTD,0,965,0
