Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,61,0
3S INDUSTRIES PRIVATE LIMITED,0,43,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,75,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,1,0
AAHANA COMMERCE PVT LTD,0,86,0
AARGEE ELECTRIC,0,5,0
ABZO MOTORS PVT LTD,5,0,0
ACCRETION POWER AUTOS,0,37,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,673
A D AGRO WORKS,0,0,8
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,129
ADIDEV TECHNOA PVT LTD,0,103,0
ADISHWAR AUTO RIDE INDIA PVT LTD,26,0,0
ADITYA AGRO INDUSTRIES,0,0,6
ADITYA ENTERPRISES,0,0,1
ADITYA SAI INDUSTRIES,0,7,0
ADM TECHNOLOGIES PVT. LTD.,0,13,0
ADRIS ELECTRIC PVT LTD,1,0,0
AFTEK MOTORS INDIA PVT LTD,11,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,2
AGRO INDUSTRIES,0,0,8
AJANTA KRUSHI YANTRA,0,0,25
AJAX ENGINEERING LTD,0,0,295
"AJAY AGRO ENTERPRISES,SBP",0,0,1
AJAY ENTERPRISES,0,0,4
AJAY MOTORS PRIVATE LIMITED,0,21,0
AKAL AGRO INDUSTRY,0,0,4
AKASH TRAILOR,0,0,3
AKG INTERNATIONAL,0,7,0
A K GUPTA & CO.,0,68,0
A K S ENG AGRO INDUSTRIES,0,0,2
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,0,0,1
ALBEDO VISION PVT LTD,0,2,0
ALLENTTI MOTORS PVT LTD,0,10,0
ALLFINE INDUSTRIES PVT LTD,0,1101,0
ALL TERRAIN CRANE,0,0,132
ALPHA SERVICES,0,0,2
ALTIER ELECTRIC VEHICLES PVT LTD,0,267,0
ALTIGREEN PROPULSION LABS PVT LTD,0,285,2
ALTIUS EV TECH PVT LTD,1,0,0
ALTIUS TECHNOLOGIES,0,4,0
AMAN AGRO INDUSTRIES,0,0,2
AMAN AUTOMOBILES,0,3,0
AMAN ELECTRIC VEHICLES,0,26,0
AMARJEET HARVESTER INDUSTRY,0,0,2
AMBIKA ENTERPRISES,0,13,0
AMBIKA INDUSTRIES,0,197,0
AMMANN APOLLO INDIA PVT LTD,0,0,26
AMO MOBILITY SOLUTIONS PVT LTD,14,0,0
AMPERE VEHICLES PRIVATE LIMITED,358,0,0
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,12,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),15,0,0
ANJALI AUTO COMPONENTS,0,12,0
ANJALI TRADERS,0,9,1
ANNAPURNA INDUSTRIES,0,0,2
APARNA INDUSTRIES,0,4,0
A P I MOTORS PVT LTD,0,58,0
APM AUTO SALES,0,39,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,4
APSARA ENTERPRISE,0,102,0
ARCHIT ENTERPRISES,0,82,0
ARD EXIM,0,1,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
ARNA ELECTRIC AUTO PVT LTD,0,61,0
ARROW AUTOMOTIVE,0,418,0
ASHA IMPEX,0,11,0
ASHMA-MOTORS PVT LTD,0,78,0
ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,3
ASHOK LEYLAND LTD,0,0,14916
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,8486,0,0
ATTOLENT AUTO GROUP PVT LTD,0,71,0
ATUL AUTO LTD,0,2186,0
ATUL GREENTECH PRIVATE LIMITED,0,32,0
ATUMOBILE PVT LTD,5,0,0
ATUT SANGAM,0,192,0
AUDI AG,0,0,59
AUTOECO GREEN ENERGY PVT LTD,0,64,0
