Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,19,0
3S INDUSTRIES PRIVATE LIMITED,0,114,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
AADHYA ENTERPRISES,0,55,0
AAHANA COMMERCE PVT LTD,0,334,0
AAKK AUTO PVT LTD,0,11,0
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,2
ABZO MOTORS PVT LTD,2,0,0
ACCRETION POWER AUTOS,0,18,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,803
A D AGRO WORKS,0,0,14
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,121
ADIDEV TECHNOA PVT LTD,0,168,0
ADISHWAR AUTO RIDE INDIA PVT LTD,19,0,0
ADITYA AGRO INDUSTRIES,0,0,2
ADITYA SAI INDUSTRIES,0,13,0
ADM TECHNOLOGIES PVT. LTD.,0,41,0
AFKON AUTOMOTIVES PVT LTD,0,7,0
AFTEK MOTORS INDIA PVT LTD,3,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,6
AGRO INDUSTRIES,0,0,18
AJAX ENGINEERING LTD,0,0,287
AJAY ENTERPRISES,0,0,3
AJAY MOTORS PRIVATE LIMITED,0,13,0
A.J ENTERPRISES,0,15,0
AKAL AGRO INDUSTRY,0,0,1
AKASH TRAILOR,0,0,5
AKG INTERNATIONAL,0,176,0
A K GUPTA & CO.,0,63,0
A K S ENG AGRO INDUSTRIES,0,0,4
ALBEDO VISION PVT LTD,0,2,0
ALIED E MOBILITY PVT LTD,0,9,0
ALLENTTI MOTORS PVT LTD,0,19,0
ALLFINE INDUSTRIES PVT LTD,0,1064,0
ALL TERRAIN CRANE,0,0,78
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,226,0
ALTIGREEN PROPULSION LABS PVT LTD,0,34,0
AMAC INNOVATIVES,0,0,2
AMAN AGRO INDUSTRIES,0,0,2
AMAN AUTOMOBILES,0,9,0
AMAN ELECTRIC VEHICLES,0,67,0
AMAR ENGG. WORKS,0,0,1
AMARJEET HARVESTER INDUSTRY,0,0,7
AMBIKA ENTERPRISES,0,24,0
AMBIKA INDUSTRIES,0,164,0
AMIR KHAN SAIFI STEEL WORKS,0,1,0
AMMANN APOLLO INDIA PVT LTD,0,0,8
AMO MOBILITY SOLUTIONS PVT LTD,6,0,0
AMPERE VEHICLES PRIVATE LIMITED,105,0,0
"AMRIT ENGG WORKS,DKL",0,0,1
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,4
AMW MOTORS LIMITED,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,6,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),3,0,0
ANJALI AUTO COMPONENTS,0,19,0
ANJALI TRADERS,0,8,0
ANNAPURNA INDUSTRIES,0,0,7
A P I MOTORS PVT LTD,0,43,0
APM AUTO SALES,0,70,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,6
APSARA ENTERPRISE,0,184,0
ARCHIT ENTERPRISES,0,150,0
ARD EXIM,0,7,0
A.R. MOTOR,0,51,0
ARNA ELECTRIC AUTO PVT LTD,0,3,0
ARROW AUTOMOTIVE,0,310,0
ASHA IMPEX,0,17,0
ASHMA-MOTORS PVT LTD,0,165,0
ASHOK LEYLAND LTD,0,0,12136
ASIA BODY BUILDERS & MANUFACTURERS,0,0,1
ASSAM FABRICATION WORKS,0,0,6
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,11046,0,0
ATTOLENT AUTO GROUP PVT LTD,0,53,0
ATUL AUTO LTD,0,2102,0
ATUL GREENTECH PRIVATE LIMITED,0,53,0
ATUMOBILE PVT LTD,3,0,0
ATUT SANGAM,0,196,0
AUDI AG,0,0,23
AUM ENGINEERING AND WORKS,0,0,5
AUTO CART LOGISTIC EQUIPMENT PVT LTD,0,0,4
AUTOECO GREEN ENERGY PVT LTD,0,74,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,8
A.V.AUTOMOTIVES PVT LTD,0,110,0
AVL ELECTRIC VEHICLES PVT LTD,0,329,0
AVON CYCLES LTD,0,47,0
AWACHAT INDUSTRIES LTD,0,0,63
AYAAN ELECTRONIC PVT LTD,2,0,0
B24 ROKET EV,0,100,0
BABA E-VEHICLES,0,71,0
BAGHWAN RIKSHAW UDYOG,0,1,0
BAJAJ AUTO LTD,149553,37761,41
BAJAJ IMPLEMENTS PVT. LTD,0,58,0
BALAJI AGRO INDUSTRIES,0,0,8
BALAJI TRADING COMPANY,0,4,0
BALAN ENGINEERING PVT LTD,0,2,0
BAL GOPAL WHEELS PVT LTD,0,9,0
BALI AUTO INDUSTRIES,0,18,0
BANKU BODY BUILDER,0,0,2
BATTRE ELECTRIC MOBLITY PVT LTD,263,0,0
BAXY LTD,0,428,0
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,27,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,11,0
BENTLEY MOTORS LIMITED,0,0,4
BEST WAY AGENCIES PVT LTD,0,538,0
BGAUSS AUTO PRIVATE LIMITED,1111,0,0
BHADAURIA ENTERPRISES,0,11,0
BHAGWAN AGRO INDUSTRIES,0,0,3
BHAGYALAXMI TRAILER,0,0,1
BHARATH ENGINEERING WORKS,0,0,1
BHAVE ELECTRIC VEHICLES PVT LTD,0,201,0
BHM INDUSTRIES,0,207,0
BHOGAL COMBINE SPARE PARTS,0,0,4
BIDISHA ENTERPRISES PVT LTD,0,0,1
BIG BULL TRADER PVT LTD,0,399,0
BIJNOR ENTERPRISES,0,3,0
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,29
BMW INDIA PVT LTD,528,0,1018
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,77,0,0
BOUNCE ELECTRIC 1 PVT LTD,791,0,0
BRIGHT AUTOZONE PVT LTD,0,279,0
BRIGHT SAFAR,0,2,0
BSERAIL ENGINEERING PVT LTD,0,11,0
BSMS AGRICULTURE WORKSHOP,0,0,4
BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),0,0,1
BULL MACHINES PVT LTD,0,0,91
BYD INDIA PRIVATE LIMITED,0,0,228
CAPITAL AUTO INDUSTRIES,0,166,0
CAPTAIN TRACTORS PVT. LTD.,0,0,327
CARREE YUNUS VEHICLE PVT LTD,0,8,0
CART INDIA,0,31,0
CASE EQUIPMENT PRIVATE LTD,0,0,1
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,96
CATERPILLAR INDIA PRIVATE LIMITED,0,0,127
CEEON INDIA,0,55,0
CELLETRON MOTOR WORKS,0,6,0
CHAMPION POLY PLAST,0,984,0
CHANDAKE-AUTOMOBILES LLP,0,14,0
CHANDANA CORPORATION,9,0,0
CHANNY AGRO INDUSTRIES,0,0,2
CHAUHAN AUTO INDUSTRIES,0,26,0
CHEHAK BATTERIES,0,36,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),39,0,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,138,0
CIVIMEC ENGINEERING PVT LTD,0,0,1
CLAAS INDIA P LTD,0,0,25
CLASSIC LEGENDS PVT LTD,2122,0,0
CLENERGY INNOVATIONS PVT LTD,0,2,0
C M OVERSEAS,0,2,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,2562
COMETTO TRAILER,0,0,4
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,14
CONTINENTAL ENGINES PVT LTD,0,37,0
CONVENIENT MACHINES PVT LTD,0,0,1
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,18
CUBE AUTO INDUSTRIES BNGLORE,0,0,1
CYRUS AUTO INDUSTRIES PVT LTD,0,4,0
DAIMLER AG,0,0,2
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1502
DAKSH INDUSTRIES,0,706,0
DAO EVTECH PRIVATE LIMITED,3,0,0
DASHMESH MECH WORKS PVT LTD,0,0,1
DASHMESH TRADERS,0,12,0
DASMESH AGRICULTURE WORKS,0,0,1
DASMESH MECHANICAL WORKS PVT.LTD,0,0,18
DAVE EXIM PVT LTD,0,28,0
DEBU AUTOMOBILES,0,4,0
DEEP DRAWN TECHNOLOGIES,0,2,0
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,1
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,1
DE EUSI MOTORS PVT LTD.,0,173,0
DELTA AUTOCORP LTD,0,157,0
DELTEK ENTERPRISES PVT LTD,0,2,0
DEV AGRO INDUSTRIES,0,0,2
