Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,49,0
3S INDUSTRIES PRIVATE LIMITED,0,92,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,58,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,1,0
AAHANA COMMERCE PVT LTD,0,118,0
ABZO MOTORS PVT LTD,5,0,0
ACCRETION POWER AUTOS,0,52,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,880
A D AGRO WORKS,0,0,7
ADAPT MOTORS PVT LTD,0,1,0
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,396
ADIDEV TECHNOA PVT LTD,0,86,0
ADISHWAR AUTO RIDE INDIA PVT LTD,24,0,0
ADITYA AGRO INDUSTRIES,0,0,4
ADITYA SAI INDUSTRIES,0,36,0
ADM TECHNOLOGIES PVT. LTD.,0,16,0
ADRIS ELECTRIC PVT LTD,1,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,15
AGRO INDUSTRIES,0,0,12
AJANTA KRUSHI YANTRA,0,0,2
AJAX ENGINEERING LTD,0,0,372
AJAX FIORI ENGINEERING PVT LTD,0,0,1
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,1
AJAY ENTERPRISES,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,15,0
A.J ENTERPRISES,0,9,0
AJIT ENGINEERING WORKS,0,0,1
AKAL AGRO INDUSTRY,0,0,4
AKASH TRAILOR,0,0,1
AKG INTERNATIONAL,0,113,0
A K GUPTA & CO.,0,50,0
A K S ENG AGRO INDUSTRIES,0,0,2
ALLENTTI MOTORS PVT LTD,0,9,0
ALLFINE INDUSTRIES PVT LTD,0,882,0
ALL TERRAIN CRANE,0,0,114
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,239,0
ALTIGREEN PROPULSION LABS PVT LTD,0,145,0
ALTIUS EV TECH PVT LTD,2,0,0
ALTIUS TECHNOLOGIES,0,2,0
AMAN AGRO INDUSTRIES,0,0,9
AMAN AUTOMOBILES,0,6,0
AMAN ELECTRIC VEHICLES,0,68,0
AMAR ENGG. WORKS,0,0,2
AMARJEET HARVESTER INDUSTRY,0,0,3
AMBIKA ENTERPRISES,0,6,0
AMBIKA INDUSTRIES,0,191,0
AMMANN APOLLO INDIA PVT LTD,0,0,21
AMO MOBILITY SOLUTIONS PVT LTD,17,0,0
AMPERE VEHICLES PRIVATE LIMITED,178,0,0
AMRIT AGRO INDUSTRIES,0,0,1
"AMRIT ENGG WORKS,DKL",0,0,7
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,3,0,0
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),13,0,0
ANGAD AGRO INDUSTRIES,0,0,4
ANJALI AUTO COMPONENTS,0,1,0
ANJALI TRADERS,0,10,0
ANNAPURNA INDUSTRIES,0,0,4
ANOOP CYLINDERS PVT LTD,0,1,0
APARNA INDUSTRIES,0,15,0
A P I MOTORS PVT LTD,0,63,0
APM AUTO SALES,0,56,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,20
APSARA ENTERPRISE,0,67,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,1
A R AGRO TECH,0,0,2
ARCHIT ENTERPRISES,0,130,0
ARD EXIM,0,7,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
ARNA ELECTRIC AUTO PVT LTD,0,22,0
ARROW AUTOMOTIVE,0,240,0
