Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,124,0
A-1 SUREJA INDUSTRIES,1,0,0
AADHYA ENTERPRISES,0,67,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,1,0
AAHANA COMMERCE PVT LTD,0,339,0
AAKK AUTO PVT LTD,0,7,0
AARGEE ELECTRIC,0,3,0
AARON INDUSTRIES,0,1,0
A.B. AGRO ENGINEERING WORKS,0,0,1
ABZO MOTORS PVT LTD,4,0,0
ACCRETION POWER AUTOS,0,24,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,746
A D AGRO WORKS,0,0,1
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,309
ADIDEV TECHNOA PVT LTD,0,160,0
ADISHAKTI TRACTORS,0,0,1
ADISHWAR AUTO RIDE INDIA PVT LTD,23,0,0
ADITYA AGRO INDUSTRIES,0,0,12
ADITYA SAI INDUSTRIES,0,8,0
ADM TECHNOLOGIES PVT. LTD.,0,22,0
AEROEAGLE AUTOMOBILES PVT LTD,0,0,22
AFKON AUTOMOTIVES PVT LTD,0,47,0
AFTEK MOTORS INDIA PVT LTD,3,0,0
"AFZAL ENGG WORKS,JUNAGARH",0,0,1
AGRAWAL RENEWABLE ENERGY PVT LTD,0,1,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,8
AGRO INDUSTRIES,0,0,13
AHMED MOTORS,0,0,1
AJANTA KRUSHI YANTRA,0,0,2
AJAX ENGINEERING LTD,0,0,332
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,1
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,17,0
A.J ENTERPRISES,0,21,0
AKASH TRAILOR,0,0,1
AKG INTERNATIONAL,0,188,0
A K GUPTA & CO.,0,44,0
A K S ENG AGRO INDUSTRIES,0,0,3
ALIED E MOBILITY PVT LTD,0,7,0
ALLENTTI MOTORS PVT LTD,0,35,0
ALLFINE INDUSTRIES PVT LTD,0,273,0
ALL TERRAIN CRANE,0,0,45
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,228,0
ALTIGREEN PROPULSION LABS PVT LTD,0,17,0
ALTIUS EV TECH PVT LTD,1,0,0
ALTIUS TECHNOLOGIES,0,3,0
ALVI AUTO,0,2,0
AMAN AGRO INDUSTRIES,0,0,1
AMAN AUTOMOBILES,0,3,0
AMAN ELECTRIC VEHICLES,0,36,0
AMAN ENTERPRISES BHPATNA,0,0,14
AMBIKA ENTERPRISES,0,7,0
AMBIKA INDUSTRIES,0,153,0
AMIR KHAN SAIFI STEEL WORKS,0,6,0
AMMANN APOLLO INDIA PVT LTD,0,0,8
AMO MOBILITY SOLUTIONS PVT LTD,3,0,0
AMPERE VEHICLES PRIVATE LIMITED,20,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,4
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
ANJALI AUTO COMPONENTS,0,6,0
ANJALI TRADERS,0,9,0
ANNAPURNA INDUSTRIES,0,0,14
ANOOP CYLINDERS PVT LTD,0,1,0
APARNA INDUSTRIES,0,1,0
A P I MOTORS PVT LTD,0,43,0
APM AUTO SALES,0,57,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,7
APSARA ENTERPRISE,0,126,0
ARCHIT ENTERPRISES,0,93,0
ARD EXIM,0,2,0
A.R. MOTOR,0,63,0
ARROW AUTOMOTIVE,0,338,0
ASHA IMPEX,0,25,0
ASHMA-MOTORS PVT LTD,0,91,0
ASHOK LEYLAND LTD,0,0,12920
ASSAM FABRICATION WORKS,0,0,2
ATHER ENERGY LTD,12963,0,0
ATTOLENT AUTO GROUP PVT LTD,0,32,0
ATUL AUTO LTD,0,2509,0
ATUL GREENTECH PRIVATE LIMITED,0,115,0
ATUMOBILE PVT LTD,1,0,0
ATUT SANGAM,0,174,0
AUDI AG,0,0,25
AUTOECO GREEN ENERGY PVT LTD,0,56,0
AUTOEXIM HOUSE LLP,0,0,10
AUTOMOBILI LAMBORGHINI S.P.A,0,0,7
AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED,0,0,1
A.V.AUTOMOTIVES PVT LTD,0,201,0
AVL ELECTRIC VEHICLES PVT LTD,0,258,0
AVON CYCLES LTD,0,42,0
AWACHAT INDUSTRIES LTD,0,0,190
B24 ROKET EV,0,107,0
BABA E-VEHICLES,0,49,0
BABA PRODUCT,0,0,5
BADSHAH ENTERPRISES,0,4,0
BAGHWAN RIKSHAW UDYOG,0,5,0
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),3,0,0
BAJAJ AUTO LTD,305243,39065,30
BAJAJ IMPLEMENTS PVT. LTD,0,56,0
BALAJI AGRO INDUSTRIES,0,0,3
BALAJI TRADING COMPANY,0,19,0
BALAN ENGINEERING PVT LTD,0,2,0
BAL GOPAL WHEELS PVT LTD,0,7,0
BALI AUTO INDUSTRIES,0,25,0
"BASUDEB ENGINEERING, CUTTACK",0,0,1
BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,256,0,0
BAUTI ENGINEERING NAYAGARH ITAMATI,0,0,1
BAXY LTD,0,559,0
BEML LIMITED,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,27,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,18,0
BENTLEY MOTORS LIMITED,0,0,3
BEST WAY AGENCIES PVT LTD,0,481,0
BGAUSS AUTO PRIVATE LIMITED,1881,0,0
BHADAURIA ENTERPRISES,0,4,0
BHAGWAN AGRO INDUSTRIES,0,0,4
BHAVE ELECTRIC VEHICLES PVT LTD,0,165,0
BHM INDUSTRIES,0,217,0
BHOGAL COMBINE SPARE PARTS,0,0,10
BHOYAR AGRO IND WARDHA,0,0,3
BIDISHA ENTERPRISES PVT LTD,0,0,1
BIG BULL TRADER PVT LTD,0,380,0
BIJNOR ENTERPRISES,0,2,0
BISWAS ENGINEERING WORKS,0,0,1
BMW INDIA PVT LTD,651,0,1062
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,94,0,0
BOSS ENTERPRISES,0,14,0
BOUNCE ELECTRIC 1 PVT LTD,858,0,0
BRB MEXICO S.A DE C.V,1,0,0
BRIGHT AUTOZONE PVT LTD,0,241,0
BRIGHT SAFAR,0,2,0
BSERAIL ENGINEERING PVT LTD,0,6,0
BSMS AGRICULTURE WORKSHOP,0,0,1
BULL MACHINES PVT LTD,0,0,151
BYD INDIA PRIVATE LIMITED,0,0,367
CAPCO INDUSTRIES PVT LTD,0,5,0
CAPITAL AUTO INDUSTRIES,0,93,0
CAPTAIN TRACTORS PVT. LTD.,0,0,468
CARREE YUNUS VEHICLE PVT LTD,0,3,0
CART INDIA,0,18,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,191
CATERPILLAR INDIA PRIVATE LIMITED,0,0,148
CEEON INDIA,0,45,0
CELLETRON MOTOR WORKS,0,18,0
CG & BROTHER CO,0,5,0
CHAMPION POLY PLAST,0,902,0
CHANDAKE-AUTOMOBILES LLP,0,22,0
CHANDANA CORPORATION,19,0,0
CHAUHAN AUTO INDUSTRIES,0,62,0
CHEHAK BATTERIES,0,27,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),39,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),5,0,0
CITADEL ENTERPRISES(OPC) PVT LTD,0,1,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,14,0
CIVIMEC ENGINEERING PVT LTD,0,0,1
CLAAS INDIA P LTD,0,0,1
CLASSIC LEGENDS PVT LTD,4274,0,0
CLENERGY INNOVATIONS PVT LTD,0,2,0
C M OVERSEAS,0,3,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3118
COMETTO TRAILER,0,0,2
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,8
CONTINENTAL ENGINES PVT LTD,0,20,0
CONVENIENT MACHINES PVT LTD,0,0,4
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,17
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1616
DAKSH INDUSTRIES,0,514,0
DASHMESH TRADERS,0,17,0
DASMESH AGRICULTURE WORKS,0,0,1
DASMESH AGRO INDUSTRIES,0,0,1
DASMESH MECHANICAL WORKS PVT.LTD,0,0,48
DAVE EXIM PVT LTD,0,10,0
DEBU AUTOMOBILES,0,1,0
DEEP DRAWN TECHNOLOGIES,0,2,0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",0,0,1
DE EUSI MOTORS PVT LTD.,0,204,0
DELTA AUTOCORP LTD,0,101,0
DEVAM ELECTRIC VEHICLES PVT LTD,0,9,0
DEVANGI ENG..,0,0,18
DEVCHHAYA MOTORS,0,1,0
DEV ENGINEERING WORKS,0,0,7
DEV MOTORS,0,183,0
DEWAN AGRICULTURE WORKS,0,0,3
DHANALAKSHMI ENGINEERING WORKS,0,0,2
DHANALAXMI ENGINEERING PURI CHARINALA,0,0,1
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,0,0,1
DHAR IN PVT LTD,0,12,0
DHIMAN AGRICULTURE,0,0,1
DHRITI ENTERPRISES,0,5,0
DIAMOND E VEHICLES,0,32,0
DILLI ELECTRIC AUTO PVT LTD,0,2044,0
DIVANSU AUTOMOBILES LTD,0,15,0
DIVYA ENTERPRISES,0,53,0
D.K. MOTORS,0,1,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,45
DSF INDUSTRIES PVT LTD,0,1,0
DSR EV MOBILITY PVT LTD,0,10,0
DUCATI INDIA PVT LTD,23,0,0
DUKE AUTO INDIA,0,69,0
DULEVO INDIA PVT LTD,0,0,2
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,2
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,9
DYS IMPEX PRIVATE LIMITED,0,73,0
E-ASHWA AUTOMOTIVE PVT LTD,0,4,0
EBUZZ MOBILITY LLP,0,4,0
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),6,0,0
ECO DYNAAMIC EQUIPMENTS,0,12,0
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,40,0
ECO FUEL SYSTEMS (I) PVT LTD,17,0,0
ECO SMART VEHICLES PVT LTD,0,112,0
EEVEE ENGINEERING PVT LTD,0,2,0
EFEV CHARGING SOLUTION PVT LTD,0,91,0
E-GURU AUTO ENERGY,0,11,0
EICHER TRACTORS,0,0,5562
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),1,0,0
ELECTRODRIVE VEHICLES PVT LTD,0,12,0
ELECTROTECH TRANSMISSION PVT LTD,0,1,0
ELEGO MOTORS PVT LTD,8,0,0
ELEPHANTA INDUSTRIES PVT LTD,0,1,0
ELITE AUTO ENGINEERS PVT LTD,0,57,0
ELTHOR ENERGY PRIVATE LIMITED,2,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,27,0
ENABLING E-VEHICLE PVT LTD,0,9,0
ENERGY ELECTRIC VEHICLES,0,1234,0
ENGINIA VEHICLES PVT LTD,0,66,0
ENGTIAN ELECTRIC BIKE PVT LTD,55,0,0
ENTICE IMPEX PVT LTD,0,76,0
EPOWER VEHICLES PVT LTD,0,1,0
ERISHA E MOBILITY PVT LTD,0,1,0
E ROYCE MOTORS INDIA PVT LTD,0,126,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,2
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,7400
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,406
ESCORTS TRACTORS LTD,0,0,3
E-SPRINTO GREEN ENERGY PVT LTD,2,0,0
ESSAR ENGINEERING,0,0,1
ESSAR ENGINEERING MAYURBHANJ BARIPADA,0,0,2
