Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,135,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
A-1 SUREJA INDUSTRIES,3,0,0
AADHYA ENTERPRISES,0,58,0
AAHANA COMMERCE PVT LTD,0,354,0
AAKK AUTO PVT LTD,0,5,0
AARGEE ELECTRIC,0,2,0
A.B. AGRO ENGINEERING WORKS,0,0,8
ABZO MOTORS PVT LTD,5,0,0
ACCRETION POWER AUTOS,0,45,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,951
A D AGRO WORKS,0,0,11
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,161
ADIDEV TECHNOA PVT LTD,0,215,0
ADISHWAR AUTO RIDE INDIA PVT LTD,18,0,0
ADITYA AGRO INDUSTRIES,0,0,2
ADITYA SAI INDUSTRIES,0,12,0
ADM TECHNOLOGIES PVT. LTD.,0,26,0
AFKON AUTOMOTIVES PVT LTD,0,16,0
AFTEK MOTORS INDIA PVT LTD,1,0,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,17
AGRO INDUSTRIES,0,0,13
AJANTA KRUSHI YANTRA,0,0,2
AJAX ENGINEERING LTD,0,0,285
AJAY MOTORS PRIVATE LIMITED,0,16,0
A.J ENTERPRISES,0,27,0
AKAL AGRO INDUSTRY,0,0,5
AKG INTERNATIONAL,0,145,0
A K GUPTA & CO.,0,53,0
AKMAAN MULTI MECH MACHINES,0,0,2
A K S ENG AGRO INDUSTRIES,0,0,2
ALIED E MOBILITY PVT LTD,0,15,0
ALLENTTI MOTORS PVT LTD,0,35,0
ALLFINE INDUSTRIES PVT LTD,0,794,0
ALL TERRAIN CRANE,0,0,83
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,249,0
ALTIGREEN PROPULSION LABS PVT LTD,0,38,0
ALTIUS EV TECH PVT LTD,2,0,0
AMAN AGRO INDUSTRIES,0,0,3
AMAN AUTOMOBILES,0,6,0
AMAN ELECTRIC VEHICLES,0,46,0
AMARJEET HARVESTER INDUSTRY,0,0,2
AMBIKA ENTERPRISES,0,11,0
AMBIKA INDUSTRIES,0,160,0
AMIR KHAN SAIFI STEEL WORKS,0,3,0
AMMANN APOLLO INDIA PVT LTD,0,0,14
AMO MOBILITY SOLUTIONS PVT LTD,11,0,0
AMPERE VEHICLES PRIVATE LIMITED,45,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,2
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,4,0,0
ANJALI AUTO COMPONENTS,0,7,0
ANJALI TRADERS,0,15,0
ANNAPURNA INDUSTRIES,0,0,9
APARNA INDUSTRIES,0,5,0
A P I MOTORS PVT LTD,0,39,0
APM AUTO SALES,0,73,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,10
APSARA ENTERPRISE,0,209,0
ARCHIT ENTERPRISES,0,118,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
A.R. MOTOR,0,81,0
ARNA ELECTRIC AUTO PVT LTD,0,5,0
ARROW AUTOMOTIVE,0,389,0
ASHA IMPEX,0,38,0
ASHMA-MOTORS PVT LTD,0,134,0
ASHNNI MOTORS PVT LTD,1,0,0
ASHOK LEYLAND LTD,0,0,12690
ASSAM FABRICATION WORKS,0,0,4
ASTON MARTIN LAGONDA LTD,0,0,2
ATHER ENERGY LTD,12925,0,0
ATTOLENT AUTO GROUP PVT LTD,0,67,0
ATUL AUTO LTD,0,2182,0
ATUL GREENTECH PRIVATE LIMITED,0,75,0
ATUMOBILE PVT LTD,1,0,0
ATUT SANGAM,0,198,0
AUDI AG,0,0,41
AUTOECO GREEN ENERGY PVT LTD,0,94,0
AUTOEXIM HOUSE LLP,0,0,6
AUTOHAUS PRIVATE LIMITED,0,1,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,8
A.V.AUTOMOTIVES PVT LTD,0,87,0
AVL ELECTRIC VEHICLES PVT LTD,0,340,0
AVON CYCLES LTD,0,37,0
AVTAR ENGINEERING WORKS,0,0,3
AWACHAT INDUSTRIES LTD,0,0,88
AYAAN ELECTRONIC PVT LTD,2,0,0
B24 ROKET EV,0,115,0
BABA E-VEHICLES,0,47,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,3
BAGHWAN RIKSHAW UDYOG,0,7,0
BAJAJ AUTO LTD,142002,37425,31
BAJAJ IMPLEMENTS PVT. LTD,0,76,0
BALAJI AGRO INDUSTRIES,0,0,5
BALAJI TRADING COMPANY,0,25,0
BALAN ENGINEERING PVT LTD,0,1,0
BAL GOPAL WHEELS PVT LTD,0,6,0
BALI AUTO INDUSTRIES,0,28,0
BANKU BODY BUILDER,0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,221,0,0
