Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,71,0
3S INDUSTRIES PRIVATE LIMITED,0,106,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,1
AADHYA ENTERPRISES,0,21,0
AAHANA COMMERCE PVT LTD,0,385,0
AAKK AUTO PVT LTD,0,4,0
AARON INDUSTRIES,0,1,0
A.B. AGRO ENGINEERING WORKS,0,0,6
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,5
ABZO MOTORS PVT LTD,2,0,0
ACCRETION POWER AUTOS,0,25,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,1019
A D AGRO WORKS,0,0,14
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,51
ADIDEV TECHNOA PVT LTD,0,102,0
ADISHWAR AUTO RIDE INDIA PVT LTD,9,0,0
ADITYA AGRO INDUSTRIES,0,0,2
ADITYA SAI INDUSTRIES,0,4,0
ADM TECHNOLOGIES PVT. LTD.,0,24,0
AERODRIVE PVT LTD,0,9,0
AEROEAGLE AUTOMOBILES PVT LTD,0,0,12
AFKON AUTOMOTIVES PVT LTD,0,68,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,16
AGRO INDUSTRIES,0,0,6
AHMED MOTORS,0,0,3
AJANTA KRUSHI YANTRA,0,0,6
AJAX ENGINEERING LTD,0,0,469
AJAX FIORI ENGINEERING PVT LTD,0,0,1
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,5
AJAY MOTORS PRIVATE LIMITED,0,36,0
A.J ENTERPRISES,0,14,0
AKAL AGRO INDUSTRY,0,0,2
AKG INTERNATIONAL,0,148,0
A K GUPTA & CO.,0,119,0
A K S ENG AGRO INDUSTRIES,0,0,1
ALIED E MOBILITY PVT LTD,0,15,0
ALLENTTI MOTORS PVT LTD,0,14,1
ALLFINE INDUSTRIES PVT LTD,0,136,0
ALL TERRAIN CRANE,0,0,92
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,146,0
ALTIGREEN PROPULSION LABS PVT LTD,0,16,0
ALTIUS EV TECH PVT LTD,1,0,0
ALTIUS TECHNOLOGIES,0,3,0
ALVI AUTO,0,10,0
AMAN ELECTRIC VEHICLES,0,33,0
AMAN ENTERPRISES BHPATNA,0,0,6
AMARJEET HARVESTER INDUSTRY,0,0,1
AMBIKA ENTERPRISES,0,10,0
AMBIKA INDUSTRIES,0,99,0
AMIR KHAN SAIFI STEEL WORKS,0,12,0
AMMANN APOLLO INDIA PVT LTD,0,0,25
AMO MOBILITY SOLUTIONS PVT LTD,6,0,0
AMPERE VEHICLES PRIVATE LIMITED,26,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,4
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2,0,0
ANJALI AUTO COMPONENTS,0,3,0
ANJALI TRADERS,0,8,0
ANNAPURNA INDUSTRIES,0,0,8
ANOOP CYLINDERS PVT LTD,0,1,0
APARNA INDUSTRIES,0,3,0
A P I MOTORS PVT LTD,0,81,10
APM AUTO SALES,0,65,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,11
APSARA ENTERPRISE,0,178,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,3
A R AGRO TECH,0,0,2
ARCHIT ENTERPRISES,0,76,0
ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,1
A.R. MOTOR,0,51,0
ARROW AUTOMOTIVE,0,208,0
ARYAN INDUSTRIES,0,1,0
ASAV AUTOMOTIVE PVT LTD,0,1,0
ASHA IMPEX,0,20,0
ASHMA-MOTORS PVT LTD,0,66,0
ASHOK LEYLAND LTD,0,0,14539
ASHTVINAYAK INDUSTRIES,0,0,3
ASSAM FABRICATION WORKS,0,0,4
ASTON MARTIN LAGONDA LTD,0,0,3
ATHER ENERGY LTD,11977,0,0
ATTOLENT AUTO GROUP PVT LTD,0,33,0
ATUL AUTO LTD,0,2327,0
ATUL GREENTECH PRIVATE LIMITED,0,146,0
ATUT SANGAM,0,167,0
AUDI AG,0,0,22
AUM ENGINEERING AND WORKS,0,0,3
AUTOECO GREEN ENERGY PVT LTD,0,99,0
AUTOEXIM HOUSE LLP,0,0,5
AUTOMOBILI LAMBORGHINI S.P.A,0,0,9
A.V.AUTOMOTIVES PVT LTD,0,63,0
AVL ELECTRIC VEHICLES PVT LTD,0,209,0
AVON CYCLES LTD,0,31,0
