Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,1,0
3S INDUSTRIES PRIVATE LIMITED,0,107,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,3
AADHYA ENTERPRISES,0,22,0
AADITYA GARBAGE PRODUCTS PVT LTD,0,4,0
AAHANA COMMERCE PVT LTD,0,601,0
AAKK AUTO PVT LTD,0,7,0
AARON INDUSTRIES,0,1,0
ACCRETION POWER AUTOS,0,29,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,579
A D AGRO WORKS,0,0,3
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,68
ADIDEV TECHNOA PVT LTD,0,169,0
ADISHWAR AUTO RIDE INDIA PVT LTD,20,0,0
ADITYA SAI INDUSTRIES,0,19,0
ADM TECHNOLOGIES PVT. LTD.,0,4,0
ADRIS ELECTRIC PVT LTD,1,0,0
AERODRIVE PVT LTD,0,10,0
AFKON AUTOMOTIVES PVT LTD,0,61,0
AFTEK MOTORS INDIA PVT LTD,1,0,0
AGI AUTO INDUSTRIES,0,4,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,17
AGRO INDUSTRIES,0,0,7
AGRO TRAILERS AP312870751,0,0,3
AJANTA KRUSHI YANTRA,0,0,1
AJAX ENGINEERING LTD,0,0,190
AJAX FIORI ENGINEERING PVT LTD,0,0,5
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,0,0,1
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,1
AJAY MOTORS PRIVATE LIMITED,0,13,0
A.J ENTERPRISES,0,15,0
AKAL AGRO INDUSTRY,0,0,1
AKASH TRAILOR,0,0,3
AKG INTERNATIONAL,0,214,0
A K GUPTA & CO.,0,26,0
AKMAAN MULTI MECH MACHINES,0,0,1
ALIED E MOBILITY PVT LTD,0,19,0
ALLFINE INDUSTRIES PVT LTD,0,220,0
ALL TERRAIN CRANE,0,0,179
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,225,0
ALTIGREEN PROPULSION LABS PVT LTD,0,3,0
ALTIUS TECHNOLOGIES,0,2,0
ALVI AUTO,0,28,0
AMAN AUTOMOBILES,0,1,0
AMAN ELECTRIC VEHICLES,0,46,0
AMAN ENTERPRISES BHPATNA,0,0,7
AMAR ENGG. WORKS,0,0,2
AMARJEET HARVESTER INDUSTRY,0,0,2
AMBICA TROLLEY WORKS,0,0,2
AMBIKA ENTERPRISES,0,35,0
AMBIKA INDUSTRIES,0,162,0
AMIR KHAN SAIFI STEEL WORKS,0,12,0
AMMANN APOLLO INDIA PVT LTD,0,0,7
AMPERE VEHICLES PRIVATE LIMITED,5,0,0
A N ENTERPRISES,0,4,0
ANGAD AGRO INDUSTRIES,0,0,1
ANICK TRADERS,0,3,0
ANJALI AUTO COMPONENTS,0,2,0
ANJALI TRADERS,0,16,0
ANNAPURNA TRAILER IMPLEMENTS AP312671033,0,0,4
ANOOP CYLINDERS PVT LTD,0,1,0
ANVITA AUTO TECH WORKS PVT LTD,1,0,0
APARNA INDUSTRIES,0,5,0
A P I MOTORS PVT LTD,0,48,4
APM AUTO SALES,0,81,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,4
APSARA ENTERPRISE,0,155,0
A R AGRO TECH,0,0,2
ARCHIT ENTERPRISES,0,82,0
A.R. MOTOR,0,84,0
ARROW AUTOMOTIVE,0,287,0
ARYAN INDUSTRIES,0,2,0
ASHA IMPEX,0,20,0
ASHMA-MOTORS PVT LTD,0,117,0
ASHOK LEYLAND LTD,0,0,14230
ASTON MARTIN LAGONDA LTD,0,0,1
ATHER ENERGY LTD,16297,0,0
ATTOLENT AUTO GROUP PVT LTD,0,48,0
ATUL AUTO LTD,0,2365,0
ATUL GREENTECH PRIVATE LIMITED,0,75,0
ATUMOBILE PVT LTD,1,0,0
ATUT SANGAM,0,167,0
AUDI AG,0,0,21
AUTOECO GREEN ENERGY PVT LTD,0,84,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,7
AUTO SUPREME INDUSTRIES,0,5,0
A.V.AUTOMOTIVES PVT LTD,0,69,0
AVL ELECTRIC VEHICLES PVT LTD,0,190,0
AVON CYCLES LTD,0,25,0
AVTAR ENGINEERING WORKS,0,0,1
AWACHAT INDUSTRIES LTD,0,0,81
AZAD INDIA MOBILITY LTD,0,0,5
B24 ROKET EV,0,163,0
BABA E-VEHICLES,0,20,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,2
BADSHAH ENTERPRISES,0,21,0
BAGHWAN RIKSHAW UDYOG,0,1,0
BAJAJ AUTO LTD,138542,38705,10
BAJAJ IMPLEMENTS PVT. LTD,0,62,0
BAJRANG MECHANICAL WORKS,0,0,5
BALAJI AGRO INDUSTRIES,0,0,2
BALAJI ENGINEERING,0,0,1
BALAJI FARM & STEEL WORKS,0,0,3
BALAJI TRADING COMPANY,0,11,0
BALAN ENGINEERING PVT LTD,0,6,0
BAL GOPAL WHEELS PVT LTD,0,6,0
BALI AUTO INDUSTRIES,0,17,0
BALURGHAT AUTOMOBILES AND ENGINEERING,0,0,2
BAMUR INDUSTRIES & ENGINEERING PVT LTD,0,1,0
BANKU BODY BUILDERS CHANDIKHOLE KUAKHIA,0,0,1
BANSAL AGRICULTURE IMPLEMENTS,0,0,1
BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,83,0,0
BAUTI ENGINEERING NAYAGARH ITAMATI,0,0,2
BAXY LTD,0,498,0
BEAUTY ENGINEERING WORKS,0,0,2
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,17,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,50,0
BENTLEY MOTORS LIMITED,0,0,2
BEST WAY AGENCIES PVT LTD,0,624,0
BGAUSS AUTO PRIVATE LIMITED,1596,0,0
BHADAURIA ENTERPRISES,0,1,0
BHAGWAN AGRO INDUSTRIES,0,0,3
BHARATHI TRAILERS,0,0,6
BHARATH MOTOCORP,0,6,0
BHARAT MECHANICAL WORKS,0,0,1
BHAVE ELECTRIC VEHICLES PVT LTD,0,126,0
BHM INDUSTRIES,0,213,0
BHOGAL COMBINE SPARE PARTS,0,0,1
BHOLE SHANKAR MOTOR BODY,0,6,0
BHOYAR AGRO IND WARDHA,0,0,6
BIG BULL TRADER PVT LTD,0,369,0
BLACK DIAMOND MOTORS PVT LTD,0,0,13
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,46
BMW INDIA PVT LTD,352,0,1319
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,140,0,0
BOSS ENTERPRISES,0,22,0
BOUNCE ELECTRIC 1 PVT LTD,123,0,0
BRIGHT AUTOZONE PVT LTD,0,273,0
BRIGHT SAFAR,0,17,0
BSERAIL ENGINEERING PVT LTD,0,15,0
BULL MACHINES PVT LTD,0,0,110
BYD INDIA PRIVATE LIMITED,0,0,468
CAPTAIN TRACTORS PVT. LTD.,0,0,119
CARREE YUNUS VEHICLE PVT LTD,0,29,0
CART INDIA,0,63,0
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,35
CATERPILLAR INDIA PRIVATE LIMITED,0,0,79
CEEON INDIA,0,16,0
CELLETRON MOTOR WORKS,0,12,0
CG & BROTHER CO,0,16,0
CHAMPION POLY PLAST,0,634,0
CHAMUNDA MECHANICLE WORKS,0,0,1
CHANDAKE-AUTOMOBILES LLP,0,15,0
CHANDANA CORPORATION,3,0,0
CHANNY AGRO INDUSTRIES,0,0,1
CHAUHAN AUTO INDUSTRIES,0,19,0
CHEHAK BATTERIES,0,23,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),17,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),4,0,0
CHITRA MANUFACTURERS LLP,0,0,3
CITADEL ENTERPRISES(OPC) PVT LTD,0,3,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,23,0
CLAAS INDIA P LTD,0,0,1
CLASSIC LEGENDS PVT LTD,2253,0,0
C M OVERSEAS,0,1,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3878
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,5
CONTINENTAL ENGINES PVT LTD,0,3,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,7
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1463
DAKSH INDUSTRIES,0,711,0
DASHMESH TRADERS,0,6,0
DASMESH AGRICULTURE WORKS,0,0,3
DASMESH MECHANICAL WORKS PVT.LTD,0,0,34
DAVE EXIM PVT LTD,0,22,0
DEBU AUTOMOBILES,0,3,0
DEEP DRAWN TECHNOLOGIES,0,3,0
DEEP FABRICATORS,0,0,8
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,3
DE EUSI MOTORS PVT LTD.,0,236,0
DELTA AUTOCORP LTD,0,69,0
DELTEK ENTERPRISES PVT LTD,0,1,0
DEV AGRO INDUSTRIES,0,0,1
DEVAM ELECTRIC VEHICLES PVT LTD,0,7,0
DEVANGI ENG..,0,0,17
DEVCHHAYA MOTORS,0,2,0
DEVI ENGG WORKS AP235530181,0,0,5
DEV MOTORS,0,263,0
DEWAN AGRICULTURE WORKS,0,0,4
DHANALAXMI ENGINEERING PURI CHARINALA,0,0,1
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,0,0,4
DHAR IN PVT LTD,0,15,0
DHARMPAL ENTERPRISES,0,5,0
DHIMAN AGRICULTURE WORKS,0,0,1
DHRITI ENTERPRISES,0,18,0
DIAMOND ENGINEERING CUTTACK BHANPUR,0,0,2
DIAMOND E VEHICLES,0,98,0
DILLI ELECTRIC AUTO PVT LTD,0,1920,2
DIVANSU AUTOMOBILES LTD,0,10,0
DIVYA ENTERPRISES,0,60,0
DIVYA VARALAKSHMI INDUSTRY,0,0,2
DOOSAN BOBCAT INDIA PVT LTD,0,0,24
DOOSAN INT INDIA PVT LTD,0,0,2
D S INDUSTRIES,0,10,0
D.S NAMDHARI ENGINEERS,0,0,6
DSR EV MOBILITY PVT LTD,0,5,0
DUCATI INDIA PVT LTD,32,0,0
DUKE AUTO INDIA,0,59,0
DULEVO INDIA PVT LTD,0,0,2
DURGA MECHANIC WORKS,0,0,7
DWARI ENGINEERS SAMBALPUR JAIL CHOWK,0,0,1
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,4
DYS IMPEX PRIVATE LIMITED,0,45,0
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),4,0,0
ECO DYNAAMIC EQUIPMENTS,0,14,0
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,22,0
ECO FUEL SYSTEMS (I) PVT LTD,9,0,0
ECO SMART VEHICLES PVT LTD,0,87,0
EDMRC MANNSCHAFT LLP,0,2,0
EFEV CHARGING SOLUTION PVT LTD,0,182,0
E-GURU AUTO ENERGY,0,12,0
EICHER MOTORS LTD,0,0,1
EICHER TRACTORS,0,0,6168
ELECTRA INTERNATIONAL,0,29,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),3,0,0
ELECTRO ARO AUTOMOTIVE PVT LTD,0,4,0
ELECTRODRIVE VEHICLES PVT LTD,0,20,0
ELEPHANTA INDUSTRIES PVT LTD,0,5,0
ELITE AUTO ENGINEERS PVT LTD,0,82,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,10,0,0
EMOBI MANUFACTURY PRIVATE LIMITED,17,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,40,0
ENABLING E-VEHICLE PVT LTD,0,81,0
ENERGY ELECTRIC VEHICLES,0,1235,0
ENGINIA VEHICLES PVT LTD,0,111,0
ENGTIAN ELECTRIC BIKE PVT LTD,9,0,0
ENTICE IMPEX PVT LTD,0,100,0
ENVISION ELECTRIC VEHICLES PVT LTD,0,3,0
EPOWER VEHICLES PVT LTD,0,7,0
ERISHA E MOBILITY PVT LTD,0,1,0
E ROYCE MOTORS INDIA PVT LTD,0,230,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,9200
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,206
ESCORTS LTD,1,0,0
ESCORTS TRACTORS LTD,0,0,1
E-SPRINTO GREEN ENERGY PVT LTD,1020,0,0
EULER MOTORS PVT LTD,0,354,66
EVBHARAT RANGE PRIVATE LIMITED,0,30,0
EVCO AUTOMOBILES PVT LTD,0,115,0
EVEX AUTO INDIA PVT LTD,0,3,0
EVGREEN PVT LTD,0,1,0
EVTRIC MOTORS PVT LTD,4,0,0
EXDINDUS EV ENERGY PVT LTD,0,24,0
EXIDE INDUSTRIES LTD,0,195,0
EXTRA FAST SOLUTIONS,0,51,0
EXTREME MOTORS,0,9,0
EYUG AUTOMOBILE PVT LTD,0,1,0
FARMTECH AGRO INDUSTRIES,0,0,1
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,266
FEDE INDUSTRIES PVT LTD,0,305,0
FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD),0,0,1
FERRARI SPA (IMPORTER:SELECT CARS P LTD),0,0,2
FIELDTRACK EARTHMOVERS PVT LTD,0,0,8
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,33,0
FIVE ELEMENTS,0,2,0
FIVE LASERCUT METAL TECHNOLOGY PVT LTD,0,0,7
FORCE MOTORS LIMITED,0,0,2701
FRN MOTORS PVT LTD,0,2,0
FUTURE EV TECHNOLOGY,0,4,0
GAGAN AUTOMOTIVES,0,54,0
GAHIR AGRICULTURAL INDUSTRIES,0,0,1
GAHIR AGRO INDUSTRIES LIMITED,0,0,1
GAMZEN PLAST PVT LTD,0,0,4
GANESH AGRO INDUSTRIES,0,0,3
GANESH ENGINEERING WORKS AP118063632,0,0,3
GARGARIJI AUTOMOBILE PVT LTD,0,8,0
GAURA ELECTRIC VEHICLES PVT LTD,98,0,0
GAUTAM AGRO INDUSTRIES,0,0,1
GAYATRI AGRO INDUSTRIES,0,0,2
GAYATRI ELECTRIC VEHICLES PVT LTD,0,106,6
G & G AUTOMOTIVE,0,42,0
GIAN AGRO INDUSTRIES,0,0,2
GIJ AGRITOOLS PVT LTD,0,0,1
GILL AGRICULTURE WORKS,0,0,5
G.K E-VEHICLS INDUSTRIES PVT LTD,0,114,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,46,0
G.K. RICKSHAW PVT LTD,0,262,0
GLAZE EV LLP,0,26,0
G. M. VEHICLE INDUSTRIES,0,0,1
GOBIND AGRO INDUSTRIES,0,0,7
