Maker,2W,3W,4W
3EV INDUSTRIES PVT LTD,0,232,0
3S INDUSTRIES PRIVATE LIMITED,0,129,0
A1 HEAVY EQUIPMENTS DEVELOPER,0,0,8
A-1 SUREJA INDUSTRIES,1,0,0
AADHYA ENTERPRISES,0,30,0
AAHANA COMMERCE PVT LTD,0,517,0
AAKK AUTO PVT LTD,0,7,0
AARON INDUSTRIES,0,1,0
ABZO MOTORS PVT LTD,2,0,0
ACCRETION POWER AUTOS,0,20,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,1025
A D AGRO WORKS,0,0,5
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,60
ADIDEV TECHNOA PVT LTD,0,178,0
ADISHWAR AUTO RIDE INDIA PVT LTD,12,0,0
ADITYA SAI INDUSTRIES,0,33,0
ADM TECHNOLOGIES PVT. LTD.,0,3,0
AERODRIVE PVT LTD,0,22,0
AFKON AUTOMOTIVES PVT LTD,0,78,0
AGI AUTO INDUSTRIES,0,1,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,10
AGRO INDUSTRIES,0,0,10
AJAX ENGINEERING LTD,0,0,658
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,1
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,2
AJAY MOTORS PRIVATE LIMITED,0,17,0
A.J ENTERPRISES,0,17,0
AKAL AGRO INDUSTRY,0,0,1
AKG INTERNATIONAL,0,197,0
A K GUPTA & CO.,0,59,0
ALIED E MOBILITY PVT LTD,0,37,0
ALLENTTI MOTORS PVT LTD,0,3,0
ALLFINE INDUSTRIES PVT LTD,0,203,0
ALL TERRAIN CRANE,0,0,160
ALTIER ELECTRIC VEHICLES PVT LTD,0,164,0
ALTIUS TECHNOLOGIES,0,2,0
ALVI AUTO,0,13,0
AMAN ELECTRIC VEHICLES,0,55,0
AMAN ENTERPRISES BHPATNA,0,0,3
AMBIKA ENTERPRISES,0,15,0
AMBIKA INDUSTRIES,0,101,0
AMIR KHAN SAIFI STEEL WORKS,0,13,0
AMMANN APOLLO INDIA PVT LTD,0,0,20
AMO MOBILITY SOLUTIONS PVT LTD,3,0,0
AMPERE VEHICLES PRIVATE LIMITED,24,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,4
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
A N ENTERPRISES,0,21,0
ANICK TRADERS,0,1,0
ANJALI TRADERS,0,6,0
ANNAPURNA TRAILER IMPLEMENTS AP312671033,0,0,4
ANOOP CYLINDERS PVT LTD,0,5,0
ANWAR ENGINEERING RAYAGADA,0,0,2
APARNA INDUSTRIES,0,8,0
A P I MOTORS PVT LTD,0,58,1
APM AUTO SALES,0,97,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,39
APSARA ENTERPRISE,0,218,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,8
ARCHIT ENTERPRISES,0,76,0
ARIHANT ENTERPRISES,0,4,0
A.R. MOTOR,0,84,0
ARROW AUTOMOTIVE,0,282,0
ARYAN INDUSTRIES,0,2,0
ASAV AUTOMOTIVE PVT LTD,0,1,0
ASHA IMPEX,0,22,0
ASHMA-MOTORS PVT LTD,0,152,0
ASHNNI MOTORS PVT LTD,1,0,0
ASHOK LEYLAND LTD,0,0,13087
ASSAM FABRICATION WORKS,0,0,1
ATHER ENERGY LTD,14691,0,0
ATTOLENT AUTO GROUP PVT LTD,0,44,0
ATUL AUTO LTD,0,2301,0
ATUL GREENTECH PRIVATE LIMITED,0,69,0
ATUT SANGAM,0,138,0
AUDI AG,0,0,22
AUTOECO GREEN ENERGY PVT LTD,0,64,0
AUTOMOBILI LAMBORGHINI S.P.A,0,0,9
AUTONXT AUTOMATION PVT LTD,0,0,1
AUTO SUPREME INDUSTRIES,0,4,0
A.V.AUTOMOTIVES PVT LTD,0,61,0
AVL ELECTRIC VEHICLES PVT LTD,0,231,0
AVON CYCLES LTD,0,26,0
AWACHAT INDUSTRIES LTD,0,0,67
B24 ROKET EV,0,173,0
BABA E-VEHICLES,0,39,0
BABAJI ENGINEERING TRAILOR WORKS,0,0,1
BABA PRODUCT,0,0,8
BADSHAH ENTERPRISES,0,29,0
BAGHWAN RIKSHAW UDYOG,0,1,0
BAJAJ AUTO LTD,156826,36142,6
BAJAJ IMPLEMENTS PVT. LTD,0,37,0
BAJRANG MECHANICAL WORKS,0,0,5
BALAN ENGINEERING PVT LTD,0,6,0
BAL GOPAL WHEELS PVT LTD,0,3,0
BALI AUTO INDUSTRIES,0,20,0
BALURGHAT AUTOMOBILES AND ENGINEERING,0,0,5
BANKU BODY BUILDER,0,0,1
BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,0,0,1
BATTRE ELECTRIC MOBLITY PVT LTD,108,0,0
BAXY LTD,0,379,1
BEAUTY ENGINEERING WORKS,0,0,1
BEML LIMITED,0,0,5
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,20,0,0
BENTINCK INDUSTRIES PVT. LTD.,0,35,0
BENTLEY MOTORS LIMITED,0,0,5
BEST WAY AGENCIES PVT LTD,0,567,0
BGAUSS AUTO PRIVATE LIMITED,1955,0,0
BHADAURIA ENTERPRISES,0,4,0
BHAGWAN AGRO INDUSTRIES,0,0,3
BHARATHI TRAILERS,0,0,1
BHARATH MOTOCORP,0,5,0
BHAVE ELECTRIC VEHICLES PVT LTD,0,107,0
BHM INDUSTRIES,0,226,0
BHOGAL COMBINE SPARE PARTS,0,0,6
BHOLE SHANKAR MOTOR BODY,0,4,0
BHOYAR AGRO IND WARDHA,0,0,3
BIG BULL TRADER PVT LTD,0,287,0
BLACK DIAMOND MOTORS PVT LTD,0,0,65
BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,0,0,47
BMR EV INDUSTRIES PVT LTD,1,0,0
BMW INDIA PVT LTD,373,0,1255
BOMAG INDIA PVT LTD,0,0,3
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,56,0,0
BOSS ENTERPRISES,0,19,0
BOUNCE ELECTRIC 1 PVT LTD,257,0,0
BRIGHT AUTOZONE PVT LTD,0,246,0
BRIGHT SAFAR,0,19,0
BSERAIL ENGINEERING PVT LTD,0,15,0
BSMS AGRICULTURE WORKSHOP,0,0,1
BU4 AUTO PVT LTD,9,0,0
BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),0,0,3
BULL MACHINES PVT LTD,0,0,194
BYD INDIA PRIVATE LIMITED,0,0,504
CAPTAIN TRACTORS PVT. LTD.,0,0,77
CARREE YUNUS VEHICLE PVT LTD,0,28,0
CART INDIA,0,17,0
CASE EQUIPMENT PRIVATE LTD,0,0,1
CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0,0,473
CATERPILLAR INDIA PRIVATE LIMITED,0,0,248
CEEON INDIA,0,17,0
CELLETRON MOTOR WORKS,0,11,0
CG & BROTHER CO,0,15,0
CHAANY AGRO INDUSTRIES,0,0,1
CHAMPION POLY PLAST,0,641,0
CHAMUNDA MECHANICLE WORKS,0,0,9
CHANDAKE-AUTOMOBILES LLP,0,16,0
CHANDANA CORPORATION,11,0,0
CHANNY AGRO INDUSTRIES,0,0,1
CHAUHAN AUTO INDUSTRIES,0,37,0
CHEHAK BATTERIES,0,24,0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),18,0,0
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2,0,0
CHITRA MANUFACTURERS LLP,0,0,7
CITADEL ENTERPRISES(OPC) PVT LTD,0,1,0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,13,0
CIVIMEC ENGINEERING PVT LTD,0,0,2
CLAAS INDIA P LTD,0,0,3
CLASSIC LEGENDS PVT LTD,1940,0,0
CLENERGY INNOVATIONS PVT LTD,0,2,0
C M OVERSEAS,0,4,0
CNH INDUSTRIAL (INDIA) PVT LTD,0,0,3392
COMETTO TRAILER,0,0,2
CONMAT HEAVY INDUSTRIES PVT LTD,0,0,25
CONTINENTAL ENGINES PVT LTD,0,4,0
CONVENIENT MACHINES PVT LTD,0,0,20
COVAI GREEN RIDE,0,5,0
CRANE KRAFT INDIA PRIVATE LIMITED,0,0,49
DABASIYA LOADERS,0,0,1
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,1660
DAKSH INDUSTRIES,0,555,0
DASHMESH TRADERS,0,8,0
DASMESH AGRICULTURE WORKS,0,0,5
DASMESH MECHANICAL WORKS PVT.LTD,0,0,56
DAVE EXIM PVT LTD,0,14,0
DEBU AUTOMOBILES,0,3,0
DEEP DRAWN TECHNOLOGIES,0,6,0
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,0,0,3
