Maker,2W,3W,4W
3S INDUSTRIES PRIVATE LIMITED,0,142,0
AADHYA ENTERPRISES,0,27,0
AAHANA COMMERCE PVT LTD,0,483,0
AAKK AUTO PVT LTD,0,9,0
AARON INDUSTRIES,0,4,1
A.B. AGRO ENGINEERING WORKS,0,0,3
ABZO MOTORS PVT LTD,1,0,0
ACCRETION POWER AUTOS,0,46,0
ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,845
A D AGRO WORKS,0,0,7
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,73
ADIDEV TECHNOA PVT LTD,0,181,0
ADISHWAR AUTO RIDE INDIA PVT LTD,20,0,0
ADITYA AGRO INDUSTRIES,0,0,1
ADITYA SAI INDUSTRIES,0,71,0
ADM TECHNOLOGIES PVT. LTD.,0,3,0
AERODRIVE PVT LTD,0,12,0
AFKON AUTOMOTIVES PVT LTD,0,94,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,11
AGRO INDUSTRIES,0,0,17
AHMED MOTORS,0,0,1
AJANTA KRUSHI YANTRA,0,0,8
AJAX ENGINEERING LTD,0,0,464
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,0,0,2
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,1
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,29
AJAY MOTORS PRIVATE LIMITED,0,14,0
A.J ENTERPRISES,0,23,0
AKAL AGRO INDUSTRY,0,0,2
AKASH TRAILOR,0,0,3
AKG INTERNATIONAL,0,257,0
A K GUPTA & CO.,0,42,0
AKMAAN MULTI MECH MACHINES,0,0,2
A K S ENG AGRO INDUSTRIES,0,0,2
ALIED E MOBILITY PVT LTD,0,42,0
ALLENTTI MOTORS PVT LTD,0,10,0
ALLFINE INDUSTRIES PVT LTD,0,130,0
ALL TERRAIN CRANE,0,0,105
ALPHA SERVICES,0,0,1
ALTIER ELECTRIC VEHICLES PVT LTD,0,230,0
ALTIUS TECHNOLOGIES,0,1,0
ALVI AUTO,0,23,0
AMAN AUTOMOBILES,0,1,0
AMAN ELECTRIC VEHICLES,0,50,0
AMAN ENTERPRISES BHPATNA,0,0,19
AMARJEET HARVESTER INDUSTRY,0,0,6
AMBIKA ENTERPRISES,0,16,0
AMBIKA INDUSTRIES,0,138,0
AMIR KHAN SAIFI STEEL WORKS,0,19,0
AMMANN APOLLO INDIA PVT LTD,0,0,17
AMO MOBILITY SOLUTIONS PVT LTD,10,0,0
AMPERE VEHICLES PRIVATE LIMITED,6,0,0
AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,2
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0
A N ENTERPRISES,0,30,0
ANICK TRADERS,0,1,0
ANJALI AUTO COMPONENTS,0,2,0
ANJALI TRADERS,0,2,0
ANNAPURNA TRAILER IMPLEMENTS AP312671033,0,0,2
ANWAR ENGINEERING RAYAGADA,0,0,3
APARNA INDUSTRIES,0,20,0
A P I MOTORS PVT LTD,0,58,4
APM AUTO SALES,0,118,0
APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,13
APSARA ENTERPRISE,0,208,0
APTEC EQUIPMENT PRIVATE LIMITED,0,0,3
ARCHIT ENTERPRISES,0,105,0
ARD EXIM,0,1,0
ARIHANT ENTERPRISES,0,1,0
A.R. MOTOR,0,85,0
ARROW AUTOMOTIVE,0,279,0
ARYAN INDUSTRIES,0,12,0
ASAV AUTOMOTIVE PVT LTD,0,3,0
ASHA IMPEX,0,21,0
ASHMA-MOTORS PVT LTD,0,113,0
ASHNNI MOTORS PVT LTD,1,0,0
ASHOKA INDUSTRIES BOLANGIR DUMERPALI,0,0,2
ASHOK LEYLAND LTD,0,0,13827
ASSAM FABRICATION WORKS,0,0,1
ATHER ENERGY LTD,13045,0,0
ATTOLENT AUTO GROUP PVT LTD,0,118,0
